Brand,Flavor,Class,Serv(oz),Serv(g),Cal/Serv,Fat,Na,K,Carbs,Fiber,Sugar,Other,Protein,kcal/g,kcal/oz,Carb/Pro,Fat %,Sugar %,Na/kcal
4th & Heart,"Ghee Butter, Original Recipe",Bump,0.18,5,45,5,0,,0,0,0,0,0,9.00,255,#DIV/0!,100%,0%,0.00
Kirkland,"Extra Virgin Olive Oil, jug",Bump,0.49,14,125,14,0,,0,0,0,0,0,8.93,253,#DIV/0!,100%,0%,0.00
Hoosier Hill Farm,Butter Powder,Bump,0.21,6,45,4,45,,1,0,1,0,1,7.50,213,1.0,82%,9%,1.00
Terrasoul,Coconut chips (unsweetened),Fruit,0.53,15,110,10,5,,4,2,1,1,1,7.33,208,4.0,82%,4%,0.05
Kraft,Real Mayo packet,Bump,0.44,12.4,90,10,65,,0,0,0,0,0,7.26,206,#DIV/0!,100%,0%,0.72
Mauna Loa,Dry Roasted Macadamias with Sea Salt,Nuts/Seeds,0.99,28,200,21,85,,4,2,1,1,2,7.14,202,2.0,89%,2%,0.43
Terrasoul,Coconut Milk Powder,Drink,0.07,2,14,1.3,0,19,0.6,0,0.3,0.3,0,7.00,198,#DIV/0!,83%,9%,0.00
Justin's,Classic Almond Butter,Nut Butter,1.13,32,220,19,10,190,5,3,1,1,6,6.88,195,0.8,80%,2%,0.05
Signature (Safeway),"Macadamia Nuts, Dry Roasted with Sea Salt",Nuts/Seeds,0.99,28,190,21,95,,4,2,1,1,2,6.79,192,2.0,89%,2%,0.50
Signature (Safeway),"Mammoth Pecan Halves, Raw and Unsalted",Nuts/Seeds,0.99,28,190,20,0,,4,3,1,0,3,6.79,192,1.3,87%,2%,0.00
Food to Live,Pine Nuts,Nuts/Seeds,0.99,28,190,19,1,,4,1,1,2,4,6.79,192,1.0,84%,2%,0.01
Signature (Safeway),Chip Coconut,Fruit,0.53,15,100,10,5,,4,1,0,3,1,6.67,189,4.0,82%,0%,0.05
Hoosier Hill Farm,Heavy Cream Powder,Bump,0.21,6,40,4,55,,1,0,1,0,1,6.67,189,1.0,82%,9%,1.38
OvaEasy,Egg Crystals,Sides,0.37,10.6,70,5,50,50,0,0,0,0,5,6.60,187,0.0,69%,0%,0.71
Justin's,Classic Cashew Butter,Nut Butter,1.13,32,210,17,35,90,9,1,2,6,5,6.56,186,1.8,73%,4%,0.17
Justin's,Maple Almond Butter,Nut Butter,1.13,32,210,17,90,90,8,2,5,1,5,6.56,186,1.6,75%,10%,0.43
Justin's,Coconut Almond Butter,Nut Butter,1.13,32,210,18,60,190,7,3,3,1,5,6.56,186,1.4,77%,6%,0.29
Justin's,Classic Peanut Butter,Nut Butter,1.13,32,210,18,25,90,6,1,2,3,7,6.56,186,0.9,76%,4%,0.12
Green & Blacks,85% chocolate,Candy,1.41,40,260,21,20,,14,5,5,4,4,6.50,184,3.5,72%,8%,0.08
Fat Fuel,Instant Keto Diet Coffee packaet,Drink,1.25,35.5,230,22,90,,5,0,5,0,2,6.48,184,2.5,88%,9%,0.39
Fuel Fudge,Cacao (coffee additive or stand alone snack),Drink,0.99,28,180,17,0,,8,2,3,3,2,6.43,182,4.0,79%,6%,0.00
Signature (Safeway),Toffee Toasted Cashews,Nuts/Seeds,1.38,39,250,14,150,,14,2,16,-4,5,6.41,182,2.8,62%,32%,0.60
