State,State Code,Month,Month Code,ICD Sub-Chapter,ICD Sub-Chapter Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
Alabama,1,"Jan., 2018",2018/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,14,Not Applicable,Not Applicable
Alabama,1,"Jan., 2018",2018/01,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,14,Not Applicable,Not Applicable
Alabama,1,"Feb., 2018",2018/02,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,10,Not Applicable,Not Applicable
Alabama,1,"Mar., 2018",2018/03,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Apr., 2018",2018/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,12,Not Applicable,Not Applicable
Alabama,1,"Apr., 2018",2018/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Apr., 2018",2018/04,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,55-64 years,55-64,11,Not Applicable,Not Applicable
Alabama,1,"May, 2018",2018/05,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,45-54 years,45-54,13,Not Applicable,Not Applicable
Alabama,1,"May, 2018",2018/05,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Jun., 2018",2018/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,14,Not Applicable,Not Applicable
Alabama,1,"Jun., 2018",2018/06,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,10,Not Applicable,Not Applicable
Alabama,1,"Jul., 2018",2018/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,15-24 years,15-24,11,Not Applicable,Not Applicable
Alabama,1,"Jul., 2018",2018/07,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,35-44 years,35-44,17,Not Applicable,Not Applicable
Alabama,1,"Sep., 2018",2018/09,Assault,X85-Y09,Assault by other and unspecified firearm discharge,X95,25-34 years,25-34,11,Not Applicable,Not Applicable
Alabama,1,"Oct., 2018",2018/10,Transport accidents,V01-V99,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15-24 years,15-24,12,Not Applicable,Not Applicable
