State,Hiking
Hawaii,100
Utah,62
Colorado,57
Montana,54
Oregon,51
Vermont,50
Maine,48
New Hampshire,45
Washington,44
Alaska,44
Wyoming,43
Arizona,40
Idaho,35
California,34
New Mexico,27
Massachusetts,25
Tennessee,24
District of Columbia,24
Nevada,24
Connecticut,24
South Dakota,23
Virginia,22
Minnesota,22
Wisconsin,21
North Carolina,21
New York,21
Rhode Island,20
Maryland,19
Georgia,18
New Jersey,18
Pennsylvania,18
Kentucky,17
Michigan,17
Arkansas,16
Ohio,16
West Virginia,16
Missouri,15
Indiana,15
North Dakota,15
Illinois,14
Texas,14
South Carolina,14
Oklahoma,14
Kansas,13
Delaware,13
Iowa,13
Alabama,13
Nebraska,12
Florida,12
Louisiana,10
Mississippi,10
