Month,Hiking: (United States)
2012-01,34
2012-02,32
2012-03,36
2012-04,40
2012-05,45
2012-06,47
2012-07,52
2012-08,48
2012-09,42
2012-10,35
2012-11,30
2012-12,24
2013-01,31
2013-02,33
2013-03,40
2013-04,44
2013-05,46
2013-06,52
2013-07,53
2013-08,50
2013-09,40
2013-10,37
2013-11,32
2013-12,32
2014-01,39
2014-02,34
2014-03,41
2014-04,47
2014-05,52
2014-06,57
2014-07,64
2014-08,56
2014-09,46
2014-10,40
2014-11,35
2014-12,34
2015-01,45
2015-02,43
2015-03,52
2015-04,56
2015-05,63
2015-06,64
2015-07,72
2015-08,72
2015-09,58
2015-10,51
2015-11,48
2015-12,41
2016-01,50
2016-02,58
2016-03,64
2016-04,66
2016-05,77
2016-06,77
2016-07,90
2016-08,73
2016-09,67
2016-10,60
2016-11,51
2016-12,44
2017-01,50
2017-02,56
2017-03,64
2017-04,70
2017-05,79
2017-06,85
2017-07,92
2017-08,81
2017-09,67
2017-10,62
2017-11,50
2017-12,45
2018-01,54
2018-02,54
2018-03,62
2018-04,68
2018-05,74
2018-06,81
2018-07,93
2018-08,77
2018-09,69
2018-10,58
2018-11,50
2018-12,47
2019-01,54
2019-02,49
2019-03,64
2019-04,67
2019-05,74
2019-06,86
2019-07,88
2019-08,76
2019-09,68
2019-10,61
2019-11,48
2019-12,49
2020-01,55
2020-02,57
2020-03,62
2020-04,54
2020-05,88
2020-06,96
2020-07,100
2020-08,94
2020-09,78
2020-10,81
2020-11,64
2020-12,56
2021-01,62
2021-02,58
2021-03,72
2021-04,72
2021-05,78
2021-06,78
2021-07,82
2021-08,74
2021-09,70
2021-10,71
2021-11,56
2021-12,49
2022-01,62
2022-02,63
2022-03,72
2022-04,71
2022-05,72
2022-06,81
2022-07,85
2022-08,76
2022-09,66
2022-10,66
2022-11,52
2022-12,44
