state,pop
.Alabama,5049846.00
.Alaska,734182.00
.Arizona,7264877.00
.Arkansas,3028122.00
.California,39142991.00
.Colorado,5811297.00
.Connecticut,3623355.00
.Delaware,1004807.00
.District of Columbia,668791.00
.Florida,21828069.00
.Georgia,10788029.00
.Hawaii,1447154.00
.Idaho,1904314.00
.Illinois,12686469.00
.Indiana,6813532.00
.Iowa,3197689.00
.Kansas,2937922.00
.Kentucky,4506589.00
.Louisiana,4627098.00
.Maine,1377238.00
.Maryland,6174610.00
.Massachusetts,6989690.00
.Michigan,10037504.00
.Minnesota,5711471.00
.Mississippi,2949586.00
.Missouri,6169823.00
.Montana,1106227.00
.Nebraska,1963554.00
.Nevada,3146402.00
.New Hampshire,1387505.00
.New Jersey,9267961.00
.New Mexico,2116677.00
.New York,19857492.00
.North Carolina,10565885.00
.North Dakota,777934.00
.Ohio,11764342.00
.Oklahoma,3991225.00
.Oregon,4256301.00
.Pennsylvania,13012059.00
.Rhode Island,1096985.00
.South Carolina,5193266.00
.South Dakota,896164.00
.Tennessee,6968351.00
.Texas,29558864.00
.Utah,3339113.00
.Vermont,646972.00
.Virginia,8657365.00
.Washington,7740745.00
.West Virginia,1785526.00
.Wisconsin,5880101.00
.Wyoming,579483.00
,
.Puerto Rico,3262693.00
"Note: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and (for the U.S. only) 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2022 population estimates series are as of January 1, 2022. ",
Suggested Citation:,
"Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2022 (NST-EST2022-POP)",
"Source: U.S. Census Bureau, Population Division",
Release Date: December 2022,
