time,human_date,human_time,seconds_delta,latitude,longitude,altitude_feet,distance_feet,speed_mph,altitude_change
2023-02-08 14:15:48-08:00,2023-02-08,02:15:48 PM,125,45.575537,-122.128037,121,11.8,0.1,-9.0
2023-02-08 14:17:53-08:00,2023-02-08,02:17:53 PM,16,45.575509,-122.128014,112,55.8,2.4,6.0
2023-02-08 14:18:09-08:00,2023-02-08,02:18:09 PM,8,45.575361,-122.128069,118,20.7,1.8,3.0
2023-02-08 14:18:17-08:00,2023-02-08,02:18:17 PM,4,45.57533,-122.128137,121,14.2,2.4,10.0
2023-02-08 14:18:21-08:00,2023-02-08,02:18:21 PM,3,45.575291,-122.128134,131,11.2,2.5,0.0
2023-02-08 14:18:24-08:00,2023-02-08,02:18:24 PM,2,45.575282,-122.128176,131,12.3,4.2,0.0
2023-02-08 14:18:26-08:00,2023-02-08,02:18:26 PM,24,45.575292,-122.128222,131,106.1,3.0,7.0
2023-02-08 14:18:50-08:00,2023-02-08,02:18:50 PM,26,45.575315,-122.128636,138,126.9,3.3,19.0
2023-02-08 14:19:16-08:00,2023-02-08,02:19:16 PM,23,45.575294,-122.129132,157,107.9,3.2,7.0
2023-02-08 14:19:39-08:00,2023-02-08,02:19:39 PM,4,45.575251,-122.12955,164,21.3,3.6,7.0
2023-02-08 14:19:43-08:00,2023-02-08,02:19:43 PM,13,45.575257,-122.129633,171,26.0,1.4,-4.0
2023-02-08 14:19:56-08:00,2023-02-08,02:19:56 PM,7,45.575302,-122.129712,167,14.7,1.4,17.0
2023-02-08 14:20:03-08:00,2023-02-08,02:20:03 PM,8,45.575266,-122.129686,184,19.6,1.7,6.0
2023-02-08 14:20:11-08:00,2023-02-08,02:20:11 PM,10,45.575241,-122.129618,190,40.2,2.7,0.0
2023-02-08 14:20:21-08:00,2023-02-08,02:20:21 PM,7,45.575169,-122.129499,190,28.6,2.8,7.0
2023-02-08 14:20:28-08:00,2023-02-08,02:20:28 PM,9,45.575142,-122.129394,197,36.0,2.7,6.0
2023-02-08 14:20:37-08:00,2023-02-08,02:20:37 PM,7,45.575126,-122.129255,203,28.9,2.8,0.0
2023-02-08 14:20:44-08:00,2023-02-08,02:20:44 PM,12,45.575079,-122.129164,203,49.4,2.8,14.0
2023-02-08 14:20:56-08:00,2023-02-08,02:20:56 PM,12,45.575026,-122.128986,217,39.1,2.2,9.0
2023-02-08 14:21:08-08:00,2023-02-08,02:21:08 PM,11,45.575001,-122.128837,226,45.3,2.8,20.0
2023-02-08 14:21:19-08:00,2023-02-08,02:21:19 PM,6,45.574954,-122.128673,246,21.0,2.4,13.0
2023-02-08 14:21:25-08:00,2023-02-08,02:21:25 PM,3,45.574917,-122.12861,259,13.4,3.0,3.0
2023-02-08 14:21:28-08:00,2023-02-08,02:21:28 PM,11,45.574887,-122.12858,262,26.6,1.6,4.0
2023-02-08 14:21:39-08:00,2023-02-08,02:21:39 PM,5,45.574816,-122.128557,266,15.2,2.1,13.0
2023-02-08 14:21:44-08:00,2023-02-08,02:21:44 PM,2,45.574784,-122.128519,279,20.1,6.9,3.0
2023-02-08 14:21:46-08:00,2023-02-08,02:21:46 PM,3,45.574756,-122.128451,282,21.9,5.0,-1.0
2023-02-08 14:21:49-08:00,2023-02-08,02:21:49 PM,1,45.574705,-122.128406,281,10.7,7.3,-5.0
2023-02-08 14:21:50-08:00,2023-02-08,02:21:50 PM,17,45.574687,-122.128373,276,76.9,3.1,6.0
2023-02-08 14:22:07-08:00,2023-02-08,02:22:07 PM,7,45.574619,-122.128088,282,29.5,2.9,3.0
2023-02-08 14:22:14-08:00,2023-02-08,02:22:14 PM,11,45.574581,-122.127986,285,44.4,2.8,10.0
2023-02-08 14:22:25-08:00,2023-02-08,02:22:25 PM,12,45.5745,-122.127856,295,37.3,2.1,20.0
2023-02-08 14:22:37-08:00,2023-02-08,02:22:37 PM,7,45.574421,-122.127763,315,27.4,2.7,10.0
2023-02-08 14:22:44-08:00,2023-02-08,02:22:44 PM,8,45.574426,-122.127656,325,50.5,4.3,-10.0
2023-02-08 14:22:52-08:00,2023-02-08,02:22:52 PM,6,45.574475,-122.127471,315,25.0,2.8,-13.0
2023-02-08 14:22:58-08:00,2023-02-08,02:22:58 PM,15,45.574525,-122.127404,302,48.1,2.2,-17.0
2023-02-08 14:23:13-08:00,2023-02-08,02:23:13 PM,4,45.574648,-122.127336,285,11.1,1.9,-6.0
2023-02-08 14:23:17-08:00,2023-02-08,02:23:17 PM,5,45.57467,-122.127306,279,24.9,3.4,6.0
2023-02-08 14:23:22-08:00,2023-02-08,02:23:22 PM,14,45.574701,-122.127219,285,63.5,3.1,0.0
2023-02-08 14:23:36-08:00,2023-02-08,02:23:36 PM,28,45.574749,-122.12698,285,119.6,2.9,27.0
2023-02-08 14:24:04-08:00,2023-02-08,02:24:04 PM,4,45.574906,-122.126569,312,21.4,3.6,3.0
2023-02-08 14:24:08-08:00,2023-02-08,02:24:08 PM,11,45.574918,-122.126487,315,54.9,3.4,-1.0
2023-02-08 14:24:19-08:00,2023-02-08,02:24:19 PM,9,45.574903,-122.126273,314,41.5,3.1,1.0
2023-02-08 14:24:28-08:00,2023-02-08,02:24:28 PM,4,45.574879,-122.126114,315,18.9,3.2,0.0
2023-02-08 14:24:32-08:00,2023-02-08,02:24:32 PM,8,45.574882,-122.12604,315,33.4,2.8,0.0
2023-02-08 14:24:40-08:00,2023-02-08,02:24:40 PM,14,45.574904,-122.125913,315,50.5,2.5,10.0
2023-02-08 14:24:54-08:00,2023-02-08,02:24:54 PM,8,45.574966,-122.125736,325,35.7,3.0,10.0
2023-02-08 14:25:02-08:00,2023-02-08,02:25:02 PM,18,45.575028,-122.125628,335,61.9,2.3,-7.0
2023-02-08 14:25:20-08:00,2023-02-08,02:25:20 PM,10,45.575165,-122.125485,328,34.7,2.4,7.0
2023-02-08 14:25:30-08:00,2023-02-08,02:25:30 PM,4,45.575231,-122.125387,335,24.7,4.2,0.0
2023-02-08 14:25:34-08:00,2023-02-08,02:25:34 PM,7,45.575247,-122.125293,335,14.1,1.4,0.0
2023-02-08 14:25:41-08:00,2023-02-08,02:25:41 PM,31,45.575209,-122.125283,335,81.5,1.8,19.0
